地方政府回应数(Y),微博投诉@数(X),@回应比例,地方政府回应的投诉发帖数,投诉发帖数,投诉回应比例,污染所在地区(S),人均国内生产总值(PGDP),企业状态,登记注册类型,企业规模,行业类别代码,行业类别名称,工业总产值当年价格万元,年正常生产时间小时,政府部门,政府部门级别,行政区划,企业名称,法人编号,污染所在地,行政编号,总转发量(Forward_all),总评论量(Comment_all),总点赞量(Praise_all),平均转发量(Forward),平均评论量(Comment),平均点赞量(Praise),中央/上级政府关注(Position),森林覆盖率(Forest),工业发电量(Industry),年份(year),平均回应时间/秒(Diff)
1,1,1.0,1.0,1.0,1.0,1,98362,,,,4411,火力发电,,,镇海环保,县,宁波市镇海区,浙江浙能镇海发电,720083684,浙江省,330211,20,9,2,20.0,9.0,2.0,0.0,59.07,3197.66,2014,81623.0
0,2,0.0,0.0,1.0,0.0,1,60879.1,,,,4411,火力发电,,,山东环境,省,山东省,山东齐星长山热电,745665445,山东省,371626,1,3,0,1.0,3.0,0.0,0.0,16.73,5329.27,2014,0
0,2,0.0,0.0,1.0,0.0,1,105231,,,,3110,炼铁,,,刘帅168,省,湖南省,天津钢管制铁,700468296,天津市,120110,3,2,0,3.0,2.0,0.0,0.0,9.87,617.55,2014,0
1,11,0.0909,1.0,6.0,0.1667,1,81874.42,,,,4411,火力发电,,,江苏环保,省,江苏省,江苏华电扬州发电,714106931,江苏省,321003,5,17,1,0.8333,2.8333,0.1667,0.0,15.8,4709.37,2014,967067.0
1,2,0.5,1.0,1.0,1.0,1,81874.42,,,,2613,无机盐制造,,,淮安环保,市,江苏省淮安市,江苏瑞洪盐业,788866546,江苏省,320829,10,9,0,10.0,9.0,0.0,1.0,15.8,4709.37,2014,3352515.0
0,1,0.0,0.0,1.0,0.0,0,40270.54,,,,,,,,刘帅168,省,湖南省,湖南水口山有色金属集团,750642790,湖南省,430482,6,0,0,6.0,0.0,0.0,0.0,47.77,1385.09,2014,0
0,2,0.0,0.0,1.0,0.0,0,40270.54,,,,2651,初级形态塑料及合成树脂制造,,,刘帅168,省,湖南省,中盐华湘化工,732846263,湖南省,431003,21,3,2,21.0,3.0,2.0,0.0,47.77,1385.09,2014,0
1,5,0.2,1.0,1.0,1.0,1,35032,,,,4411,火力发电,,,临沂环境,市,临沂市,华能济宁高新区热电,742445631,山东省,370000,2,50,0,2.0,50.0,0.0,0.0,16.73,5329.27,2014,3142253.0
2,5,0.4,2.0,2.0,1.0,1,60879.1,,,,4411,火力发电,,,山东环境,省,山东省,华能临沂发电,168271787,山东省,371311,1,73,0,0.5,36.5,0.0,0.0,16.73,5329.27,2014,1806532.0
0,1,0.0,0.0,1.0,0.0,0,34674,,,,,,,,江西环保,省,江西省,江西洪城环保水业,553520970,江西省,360122,1,1,0,1.0,1.0,0.0,0.0,60.01,1085.35,2014,0
