延长油田公司永宁采油厂,陕西省,610625,2015,危险废物,223690125,1,160,1,710,石油开采,321900,8760,0
长庆油田分公司第三采油厂(志丹),陕西省,610625,2015,危险废物,715048323,1,110,2,710,石油开采,120208,8640,0
延长油田股份,陕西省,610625,2015,危险废物,719704594,1,150,2,710,石油开采,224581.3,8400,0
长庆油田分公司第一采油厂(志丹),陕西省,610625,2015,危险废物,762593674,1,110,1,710,石油开采,25000,8100,0
长庆油田分公司第一采油厂(安塞),陕西省,610624,2015,危险废物,762593674,1,110,1,710,石油开采,25000,8100,0
延长油田公司杏子川采油厂,陕西省,610624,2015,危险废物,223660380,1,110,1,710,石油开采,160000,8760,0
长庆油田分公司坪北石油合作开发项目经理部,陕西省,610624,2015,危险废物,52111407,,,,,,,,0
长庆油田分公司第四采油厂(安塞),陕西省,610624,2015,危险废物,71502775X,1,110,1,710,石油开采,60339,8760,0
延长油田公司瓦窑堡采油厂,陕西省,610623,2015,危险废物,223630755,1,110,2,710,石油开采,71676,8640,0
延长油田公司子长采油厂,陕西省,610623,2015,危险废物,923500732,1,110,2,710,石油开采,62581.7,8640,0
延长油田公司子北采油厂,陕西省,610623,2015,危险废物,710035582,1,110,2,710,石油开采,97468,8760,0
陕西延长石油(集团),陕西省,610622,2015,危险废物,923500687,1,110,1,2511,原油加工及石油制品制造,183289,8040,0
延长油田公司青平川采油厂(延川),陕西省,610622,2015,危险废物,223600484,1,110,2,710,石油开采,18600,8760,0
延长油田公司七里村采油厂,陕西省,610621,2015,危险废物,92350061x,,,,,,,,0
延长油田公司甘谷驿采油厂,陕西省,610602,2015,危险废物,923500628,1,110,2,710,石油开采,7915.5,8760,0
延长油田公司川口采油厂,陕西省,610602,2015,危险废物,22350058X,1,110,2,710,石油开采,10500.3,8760,0
甘洛县中发矿业,四川省,513435,2015,重金属,709118946,1,150,3,912,铅锌矿采选,1409,3410,0
甘洛县银都铅锌洗选,四川省,513435,2015,重金属,784738133,1,150,3,912,铅锌矿采选,1639,4207,0
甘洛县银峰洗选,四川省,513435,2015,重金属,687900936,2,150,4,912,铅锌矿采选,,,0
四川省甘洛县铁厂,四川省,513435,2015,重金属,213753268,1,120,2,912,铅锌矿采选,2425,3156,0
四川省甘洛县外贸浮选厂,四川省,513435,2015,重金属,213753612,1,171,2,912,铅锌矿采选,4262,7100,0
四川新锐电源,四川省,513435,2015,重金属,77298680X,1,150,1,3849,其他电池制造,61866,1165,0
冕宁县东立矿业,四川省,513433,2015,重金属,77169410000,,,,,,,,0
冕宁县飞天实业,四川省,513433,2015,重金属,723229060,2,170,3,3232,稀土金属冶炼,,,0
冕宁县茂源稀土新材料,四川省,513433,2015,重金属,75661625X,,,,,,,,0
四川美凌蓄电池,四川省,510184,2015,重金属,723425475,1,173,3,3849,其他电池制造,9651,2240,0
四川荣联电子科技,四川省,510184,2015,重金属,679685383,1,150,3,3849,其他电池制造,800,620,0
成都华融化工,四川省,510182,2015,重金属,723425301,1,150,1,2612,无机碱制造,134049,7200,0
成都华明光源材料,四川省,510182,2015,重金属,752814840,1,159,3,3360,金属表面处理及热处理加工,1179,3000,0
四川金路树脂,四川省,510626,2015,重金属,205200233,1,150,1,2651,初级形态塑料及合成树脂制造,151480.5,8000,0
四川德阳扬嘉磷化工,四川省,510603,2015,重金属,205121834,2,150,3,2611,无机酸制造,,,0
德阳市孝泉宝塔磷肥,四川省,510603,2015,重金属,708942239,1,150,3,3011,水泥制造,1800,3600,0
德阳市祥松皮革制品,四川省,510603,2015,重金属,784745341,1,173,2,1910,皮革鞣制加工,2200,840,0
合江县海东皮革制品,四川省,510522,2015,重金属,684150383,1,150,2,1910,皮革鞣制加工,3700,2920,0
伊顿液压（泸州）,四川省,510504,2015,重金属,72082330400,1,330,2,3411,锅炉及辅助设备制造,2289,2004,0
泸州长城机电厂,四川省,510504,2015,重金属,204704667,1,120,3,3831,电线、电缆制造,1800,1720,0
盐边县成宗矿业,四川省,510422,2015,重金属,789123429,1,170,3,913,镍钴矿采选,4202,2880,0
盐边县宏大铜镍,四川省,510422,2015,重金属,742287821,1,173,3,913,镍钴矿采选,698,1180,0
四川省卓越钒钛,四川省,510411,2015,重金属,56763352X,1,130,3,3219,其他常用有色金属冶炼,6887.1,7560,0
攀枝花市荣昌化工,四川省,510411,2015,重金属,665395430,1,170,3,2611,无机酸制造,3000,7200,0
攀枝花市德铭有色冶金,四川省,510411,2015,重金属,769973207,2,150,3,3213,镍钴冶炼,,,0
攀枝花泓兵钒镍,四川省,510411,2015,重金属,662782304,2,150,2,3150,铁合金冶炼,,,0
攀枝花宏镀工贸,四川省,510411,2015,重金属,678377370,2,170,4,3360,金属表面处理及热处理加工,,,0
攀枝花东立化工,四川省,510411,2015,重金属,667422711,1,171,3,2611,无机酸制造,5700,6541,0
攀枝花市红杉钒制品,四川省,510402,2015,重金属,71754898900,1,150,3,2612,无机碱制造,1712.7,5124,0
攀枝花市金江冶金化工厂,四川省,510402,2015,重金属,204462303,1,170,4,2612,无机碱制造,1880,4500,0
攀枝花市锦利钒钛,四川省,510402,2015,重金属,775827310,1,171,3,2612,无机碱制造,3600,7920,0
攀枝花市顺德亿锌业,四川省,510402,2015,重金属,667416477,1,150,3,3212,铅锌冶炼,1210,5520,0
攀枝花市柱宇钒钛,四川省,510402,2015,重金属,782298955,1,130,3,2612,无机碱制造,7187.3,8267,0
攀钢集团钒业,四川省,510402,2015,重金属,592775554,1,110,1,2612,无机碱制造,88467.5,7920,0
成都立申实业,四川省,510184,2015,重金属,202631038,1,170,3,1910,皮革鞣制加工,9800,1920,0
成都市科尔达皮业,四川省,510184,2015,重金属,20262943X,1,150,3,1910,皮革鞣制加工,3000,2080,0
成都市千瑞达制革,四川省,510184,2015,重金属,621824192,1,159,3,1910,皮革鞣制加工,2965,2384,0
崇州市富邦皮革,四川省,510184,2015,重金属,713075002,1,150,2,1929,其他皮革制品制造,5814.4,3600,0
成都川西蓄电池（集团）,四川省,510184,2015,重金属,20262628X,1,170,2,3849,其他电池制造,45500,2400,0
崇州市华议皮革,四川省,510184,2015,重金属,752830330,1,150,2,1910,皮革鞣制加工,4680,2288,0
崇州市力源制革厂,四川省,510184,2015,重金属,740304106,2,170,3,1910,皮革鞣制加工,,,0
崇州市胜利制革厂,四川省,510184,2015,重金属,774533783,1,171,3,1910,皮革鞣制加工,1372,1896,0
崇州市恒力蓄电池工业,四川省,510184,2015,重金属,75280022X,1,173,3,3849,其他电池制造,4100,2240,0
四川蓥峰实业,四川省,510682,2015,重金属,754722309,1,170,3,1910,皮革鞣制加工,130,1440,0
四川省广汉市万福磷肥实业,四川省,510681,2015,重金属,21425012800,1,170,3,2622,磷肥制造,6350,7200,0
四川广汉星光冶金化工,四川省,510681,2015,重金属,62088795X,1,150,3,2611,无机酸制造,2100,5760,0
广汉市英模表面处理加工厂,四川省,510681,2015,重金属,79788994200,1,170,3,3360,金属表面处理及热处理加工,400,1860,0
广汉市金达电镀厂,四川省,510681,2015,重金属,744696696,,,,,,,,0
广汉市凤桥电镀厂,四川省,510681,2015,重金属,21425944800,,,,3360,金属表面处理及热处理加工,,,0
四川中元磷制品,四川省,510681,2015,重金属,75234009100,,,,2611,无机酸制造,,,0
广汉市久盛锌业,四川省,510681,2015,重金属,795849947,1,150,3,1495,食品及饲料添加剂制造,2000,6000,0
环江锌源矿业,广西壮族自治区,451226,2015,重金属,747981548,2,130,3,912,铅锌矿采选,,,0
广西吉圣源矿业,广西壮族自治区,451225,2015,重金属,76584977—8,,,,,,,,0
广西罗城仫佬自治县金源有色金属工业总公司四堡锡矿,广西壮族自治区,451225,2015,重金属,20093408—6,,,,,,,,0
罗城仫佬族自治县宝坛乡孟公山铜锡矿,广西壮族自治区,451225,2015,重金属,67249940—6,,,,,,,,0
罗城仫佬族自治县华纳矿业,广西壮族自治区,451225,2015,重金属,76582301—7,,,,,,,,0
罗城仫佬族自治县一洞锡矿,广西壮族自治区,451225,2015,重金属,20093131—X,,,,,,,,0
凤山县宏益矿业,广西壮族自治区,451223,2015,重金属,737619043,2,150,2,921,金矿采选,,,0
广西凤山天承黄金矿业,广西壮族自治区,451223,2015,重金属,756545174,2,150,3,921,金矿采选,,,0
广西华锡集团股份,广西壮族自治区,451221,2015,重金属,90097189X,1,150,1,914,锡矿采选,57874,264,0
广西高峰矿业,广西壮族自治区,451221,2015,重金属,198230791,1,150,2,914,锡矿采选,65136.9,8064,0
辽宁华锦通达化工股份,辽宁省,211123,2015,危险废物,279309506,1,110,1,2614,有机化学原料制造,2289025,8000,0
盘锦恒祥危废处理,辽宁省,211122,2015,危险废物,561395735,,,,,,,,0
中国石油天然气股份,辽宁省,211004,2015,危险废物,701696207,1,160,1,2511,原油加工及石油制品制造,1997429,8760,0
辽宁庆阳特种化工,辽宁省,211003,2015,危险废物,761838748,1,110,2,2664,信息化学品制造,74685,8520,0
宏群胜精密电子(营口),辽宁省,210825,2015,危险废物,797661948,1,230,1,3972,印制电路板制造,34355,7920,0
辽宁西洋特肥,辽宁省,210726,2015,危险废物,725676534,1,173,2,2624,复混肥料制造,67453,7200,0
中信锦州金属股份,辽宁省,210711,2015,危险废物,725673536,1,110,1,3150,铁合金冶炼,247650.6,7776,0
中国石油天然气股份,辽宁省,210702,2015,危险废物,716459108,1,160,1,2511,原油加工及石油制品制造,2321022,8760,0
本钢板材股份,辽宁省,210502,2015,危险废物,242690243,1,110,1,3110,炼铁,,8760,0
中国有色集团抚顺红透山矿业,辽宁省,210408,2015,危险废物,119615379,1,110,1,3211,铜冶炼,38661.3,7248,0
中国石油天然气股份,辽宁省,210403,2015,危险废物,71960098X,1,110,2,4411,火力发电,177587.9,8760,0
中国石油天然气股份,辽宁省,210403,2015,危险废物,24231626X,1,110,1,2511,原油加工及石油制品制造,3293328,8760,0
成县宏鑫矿业,甘肃省,621221,2015,重金属,784019956,1,173,4,912,铅锌矿采选,251,528,0
成县宏体矿业,甘肃省,621221,2015,重金属,719080996,2,170,4,912,铅锌矿采选,,,0
成县恒兴矿业,甘肃省,621221,2015,重金属,225731744,2,170,3,912,铅锌矿采选,,,0
成县恒利矿业开发,甘肃省,621221,2015,重金属,789646852,2,170,3,912,铅锌矿采选,,,0
成县恒大实业,甘肃省,621221,2015,重金属,719075476,2,150,3,912,铅锌矿采选,,,0
成县茨坝须弥山实业,甘肃省,621221,2015,重金属,73963539702,2,150,3,912,铅锌矿采选,,,0
成县白庄铅锌选矿厂,甘肃省,621221,2015,重金属,76770365x,,,,,,,,0
成县百昌矿业,甘肃省,621221,2015,重金属,773408235,2,160,4,912,铅锌矿采选,,,0
成县毕家山矿业,甘肃省,621221,2015,重金属,78964550X,1,150,2,912,铅锌矿采选,8374,4500,0
成县茨坝须弥山实业,甘肃省,621221,2015,重金属,739635397,2,150,3,912,铅锌矿采选,,,0
成县官店扶贫福利铅锌联营选矿厂,甘肃省,621221,2015,重金属,789606834,,,,,,,,0
广西北山矿业发展,广西壮族自治区,451226,2015,重金属,20086560701,1,150,3,912,铅锌矿采选,11004,5509,0
广西环江茂晨矿冶,广西壮族自治区,451226,2015,重金属,796846385,2,151,2,3212,铅锌冶炼,,,0
广西环江银河,广西壮族自治区,451226,2015,重金属,200956365,1,150,3,912,铅锌矿采选,3073.5,2160,0
广西环江银河,广西壮族自治区,451226,2015,重金属,200956365,1,150,3,912,铅锌矿采选,3073.5,2160,0
环江金泰矿业,广西壮族自治区,451226,2015,重金属,7565163062,2,173,2,3212,铅锌冶炼,,,0
环江县金泰矿业,广西壮族自治区,451226,2015,重金属,756516306,2,173,2,3212,铅锌冶炼,,,0
环江毛南族自治县新发矿业,广西壮族自治区,451226,2015,重金属,747996109,1,150,2,912,铅锌矿采选,2000,1100,0
清远市清城区龙塘金盛电镀厂,广东省,441802,2015,重金属,745502208,1,171,3,3360,金属表面处理及热处理加工,1300,2100,0
广东豪美铝业,广东省,441802,2015,重金属,765734276,1,160,1,3269,其他有色金属压延加工,169210.5,3960,0
江西铜业（清远）,广东省,441802,2015,重金属,796282524,1,151,1,3311,金属结构制造,574440.7,8760,0
清远市环宇铜业,广东省,441802,2015,重金属,68240698X,,,,,,,,0
清远市龙塘黄埔电镀实业,广东省,441802,2015,重金属,734129639,1,170,2,3360,金属表面处理及热处理加工,4000,2480,0
广东奥克莱电源,广东省,441802,2015,重金属,725074437,,,,,,,,0
清远市清城区振威皮革厂,广东省,441802,2015,重金属,G33793488,1,170,3,1910,皮革鞣制加工,1000,1600,0
清远市信和实业,广东省,441802,2015,重金属,769315116,1,159,2,3732,非金属船舶制造,5600,2800,0
清远市兴域铝业,广东省,441802,2015,重金属,758342522,1,173,2,3262,铝压延加工,24756,2760,0
清远市亿源电源,广东省,441802,2015,重金属,752890376,1,173,2,3849,其他电池制造,4500,2650,0
清远市尤尼电源科技,广东省,441802,2015,重金属,678876655,1,310,2,3849,其他电池制造,12000,2264,0
塞拉尼斯（南京）多元化工,江苏省,320116,2015,危险废物,780689071,1,330,3,2614,有机化学原料制造,251614.2,8520,0
西和县孙家沟铅锌氧化矿浮选厂,甘肃省,621225,2015,重金属,225790699,1,120,4,912,铅锌矿采选,423,5760,0
西和县六巷铅锌矿,甘肃省,621225,2015,重金属,225790330,1,120,2,912,铅锌矿采选,2257,7200,0
西和县青羊矿业,甘肃省,621225,2015,重金属,22579004X,1,150,4,912,铅锌矿采选,282.7,6720,0
西和县石峡铅锌矿,甘肃省,621225,2015,重金属,79485422200,,,,,,,,0
西和县中泰工矿,甘肃省,621225,2015,重金属,225790103,2,150,4,912,铅锌矿采选,,,0
