地方政府回应数(Y),微博投诉@数(X),@回应比例,地方政府回应的投诉发帖数,投诉发帖数,投诉回应比例,污染所在地区(S),人均国内生产总值(PGDP),企业特征(Enterprise),政府部门,政府部门级别,行政区划,企业名称,法人编号,污染所在地,行政编号,总转发量(Forward_all),总评论量(Comment_all),总点赞量(Praise_all),平均转发量(Forward),平均评论量(Comment),平均点赞量(Praise),中央/上级政府关注(Position),森林覆盖率(Forest),工业发电量(Industry),年份(year),平均回应时间/秒(Diff)
0,2,0.0,0.0,1.0,0.0,1,,,滨州环保,市,滨州市,山东齐星长山热电,745665445,山东省,371626,1,3,0,1.0,3.0,0.0,0.0,16.73,5329.27,2014,0
3,33,0.0909,3.0,3.0,1.0,1,,,日照环境,市,日照市,华能济宁高新区热电,742445631,山东省,370000,6,150,0,2.0,50.0,0.0,0.0,16.73,5329.27,2014,3142253.0
0,1,0.0,0.0,1.0,0.0,1,,,山东环境,省,山东省,亚太森博（山东）浆纸,613803877,山东省,370000,0,9,0,0.0,9.0,0.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,0,,,铜陵环保,市,安徽省铜陵市,金隆铜业,610436303,安徽省,340702,0,0,1,0.0,0.0,1.0,0.0,27.53,2252.69,2014,0
1,2,0.5,1.0,2.0,0.5,1,,,山东环境,省,山东省,华电潍坊发电,165423394,山东省,370000,5,4,0,2.5,2.0,0.0,0.0,16.73,5329.27,2014,268646.0
0,3,0.0,0.0,3.0,0.0,1,,,江苏环保,省,江苏省,镇江大东纸业,608832649,江苏省,320000,2,3,0,0.6667,1.0,0.0,0.0,15.8,4709.37,2014,0
0,4,0.0,0.0,2.0,0.0,1,,,山东环境,省,山东省,山东巨润建材,672204911,山东省,371724,0,2,0,0.0,1.0,0.0,0.0,16.73,5329.27,2014,0
1,1,1.0,1.0,1.0,1.0,0,,,湘潭市环境保护局,市,湖南省湘潭市,湘潭市污水处理,712128766,湖南省,430302,2,3,0,2.0,3.0,0.0,0.0,47.77,1385.09,2014,95132.0
1,4,0.25,1.0,2.0,0.5,1,,,临沂环境,市,临沂市,华能临沂发电,168271787,山东省,371311,3,24,0,1.5,12.0,0.0,0.0,16.73,5329.27,2014,61525.0
0,1,0.0,0.0,1.0,0.0,0,,,江西环保,省,江西省,江西玉山万年青水泥,73918862X,江西省,361123,0,0,0,0.0,0.0,0.0,0.0,60.01,1085.35,2014,0
